customer_id,customer_name,email,phone,plan_id,plan_name,plan_price,meals_per_day,signup_date,is_active,loyalty_tier,loyalty_points,lifetime_loyalty_points,rfm_segment,recency_score,frequency_score,monetary_score,total_orders,total_spend,last_order_date,days_since_last_order,customer_lifespan_days
CUST-00293,Benjamin Moore,joshua81@example.net,001-450-861-8538x003,PLAN-BM,Basic Monthly,49.99,1,2025-11-07,True,GOLD,2767,3441,CHURNED,1,2,2,14,345.19,2025-12-19,95,188
CUST-00298,Walter Bishop,cassidysmith@example.net,5617558108,PLAN-PPO,Pay-Per-Order,0.0,0,2025-11-14,True,GOLD,4836,4836,AT_RISK,2,5,5,19,485.06,2026-01-10,73,222
CUST-00308,Linda Jones,michaelsmith@example.org,346-494-5964x883,PLAN-BM,Basic Monthly,49.99,1,2025-06-21,True,GOLD,3786,4801,CHAMPION,5,5,4,19,481.55,2026-01-28,55,202
CUST-00309,Christopher Elliott,lauramatthews@example.com,499-494-9732x03319,PLAN-BM,Basic Monthly,49.99,1,2025-06-23,True,GOLD,2889,3529,AT_RISK,1,3,2,16,354.14,2026-01-03,80,191
CUST-00314,Brent Stephens,dianamclaughlin@example.com,+1-652-395-8066x0138,PLAN-PM,Premium Monthly,89.99,2,2025-10-15,True,GOLD,3088,3824,LOYAL,3,3,3,16,383.66,2026-01-20,63,232
CUST-00329,Christopher Nichols,jessicaschultz@example.com,257-493-8970x155,PLAN-BM,Basic Monthly,49.99,1,2025-09-22,True,GOLD,2383,2970,NEW_CUSTOMER,4,1,1,10,297.72,2026-01-24,59,227
CUST-00341,Grace Norris,kristin49@example.com,+1-602-428-4035x954,PLAN-PPO,Pay-Per-Order,0.0,0,2025-11-09,True,GOLD,3989,3989,AT_RISK,2,3,3,16,400.14,2026-01-14,69,195
CUST-00355,Brenda May,ffoster@example.org,708.350.9608x58749,PLAN-PM,Premium Monthly,89.99,2,2025-10-08,True,GOLD,2560,3247,NEW_CUSTOMER,4,2,2,13,325.71,2026-01-27,56,220
CUST-00394,Kelsey Williams,parkerbriana@example.net,+1-525-708-0046,PLAN-CM,Corporate Monthly,149.99,3,2025-11-12,True,GOLD,1850,2162,CHURNED,2,1,1,8,216.82,2026-01-11,72,202
CUST-00417,Angela Lopez,katelyn32@example.com,+1-294-696-8436x4538,PLAN-PM,Premium Monthly,89.99,2,2025-10-28,True,GOLD,2950,3439,POTENTIAL,4,3,2,16,345.22,2026-01-24,59,232
CUST-00419,Emily Duarte,jeremyjackson@example.net,(867)275-6777x226,PLAN-PM,Premium Monthly,89.99,2,2025-09-15,True,GOLD,2283,3287,NEW_CUSTOMER,4,2,2,13,329.68,2026-01-27,56,226
CUST-00430,Amy Cameron,timothywilliams@example.org,(628)955-6608,PLAN-PM,Premium Monthly,89.99,2,2025-10-16,True,GOLD,3994,4582,CHAMPION,5,4,4,18,459.57,2026-01-28,55,239
CUST-00441,Rodney Gilmore,stonebarbara@example.com,+1-823-857-1558,PLAN-BM,Basic Monthly,49.99,1,2025-11-24,True,GOLD,4339,4524,LOYAL,3,3,4,16,453.55,2026-01-21,62,213
CUST-00455,John Todd,taylordavis@example.com,588-591-4444x98355,PLAN-PM,Premium Monthly,89.99,2,2025-12-01,True,PLATINUM,3855,5128,CHAMPION,4,5,5,22,514.51,2026-01-27,56,227
CUST-00459,Bryce Wolf,williamschad@example.org,+1-284-221-6309,PLAN-CM,Corporate Monthly,149.99,3,2025-08-07,True,GOLD,3131,4044,LOYAL,5,3,3,16,405.63,2026-01-29,54,223
CUST-00466,Jody Carter,lramirez@example.org,(842)481-3190x92487,PLAN-BM,Basic Monthly,49.99,1,2025-06-17,True,PLATINUM,3269,5359,CHAMPION,4,5,5,21,537.5,2026-01-24,59,236
CUST-00506,Stacey Allen,johnny38@example.net,001-882-778-0205,PLAN-BM,Basic Monthly,49.99,1,2025-06-05,True,GOLD,4051,4935,AT_RISK,1,5,5,20,495.05,2025-12-31,83,213
CUST-00549,Anthony Hayes,marilyn67@example.net,427-378-2210,PLAN-PM,Premium Monthly,89.99,2,2025-09-01,True,GOLD,2454,2454,CHURNED,1,1,1,11,246.27,2025-12-09,105,191
CUST-00550,Leah Wilcox,fullerjose@example.com,(598)557-9736,PLAN-BM,Basic Monthly,49.99,1,2025-12-05,True,GOLD,1799,3612,POTENTIAL,3,2,2,13,362.18,2026-01-19,64,229
CUST-00561,Katherine Baker,jherring@example.com,6953744303,PLAN-PPO,Pay-Per-Order,0.0,0,2025-08-18,True,GOLD,3207,3207,NEW_CUSTOMER,4,2,2,13,321.73,2026-01-24,59,228
CUST-00567,Sonya Williams,nathan39@example.net,213.721.5513,PLAN-PM,Premium Monthly,89.99,2,2025-06-30,True,GOLD,3332,4686,CHAMPION,4,4,4,19,470.09,2026-01-28,55,229
CUST-00596,Joe Strong,danieljenkins@example.org,+1-904-418-1359x9898,PLAN-PPO,Pay-Per-Order,0.0,0,2025-07-16,True,GOLD,3592,3592,NEW_CUSTOMER,4,2,2,13,360.19,2026-01-27,56,196
CUST-00602,Justin Garcia,ernestmahoney@example.net,001-536-248-8208x934,PLAN-CM,Corporate Monthly,149.99,3,2025-06-14,True,SILVER,1150,1913,POTENTIAL,3,1,1,7,191.79,2026-01-22,61,161
CUST-00615,Dennis Martin,ujones@example.org,(803)784-3753,PLAN-CM,Corporate Monthly,149.99,3,2025-12-30,True,GOLD,3003,3351,CHURNED,1,2,2,14,336.17,2026-01-07,76,182
CUST-00644,Michael Jackson,sullivanchristine@example.org,441-820-1227x59500,PLAN-PPO,Pay-Per-Order,0.0,0,2025-10-24,True,GOLD,4727,4727,AT_RISK,2,4,4,18,474.04,2026-01-16,67,214
CUST-00687,Randy Murphy,anthonyhunt@example.net,001-352-731-2021,PLAN-BM,Basic Monthly,49.99,1,2025-06-25,True,GOLD,3670,4387,AT_RISK,1,4,4,18,440.09,2026-01-07,76,216
CUST-00705,Misty Hernandez,toddburton@example.com,001-912-212-1101,PLAN-PM,Premium Monthly,89.99,2,2025-10-31,True,GOLD,2923,4322,CHAMPION,4,4,4,18,433.59,2026-01-27,56,236
CUST-00707,Stephen Duran,lgarcia@example.org,464.333.8722x0542,PLAN-BM,Basic Monthly,49.99,1,2025-07-09,True,GOLD,2777,3311,NEW_CUSTOMER,4,2,2,14,332.19,2026-01-27,56,216
CUST-00725,Megan Fuller,gallagherjoanna@example.org,001-890-674-7296,PLAN-PM,Premium Monthly,89.99,2,2025-08-09,True,PLATINUM,4864,6015,AT_RISK,1,5,5,25,603.44,2025-12-17,97,193
CUST-00739,Christina Cook,bdixon@example.org,418.836.1133,PLAN-PPO,Pay-Per-Order,0.0,0,2025-08-01,True,GOLD,2344,2344,NEW_CUSTOMER,4,1,1,11,235.26,2026-01-27,56,240
CUST-00785,Scott Adams,thomas12@example.net,9356006184,PLAN-BM,Basic Monthly,49.99,1,2025-11-30,True,GOLD,3696,3868,AT_RISK,1,4,3,17,388.12,2026-01-06,77,207
CUST-00806,Paula Green,kristina89@example.org,739.861.5976x4053,PLAN-PPO,Pay-Per-Order,0.0,0,2025-10-27,True,SILVER,1907,1907,NEW_CUSTOMER,5,1,1,8,191.32,2026-01-31,52,225
CUST-00825,Terri Martin,qmoran@example.com,(940)485-8588x38256,PLAN-CM,Corporate Monthly,149.99,3,2025-06-21,True,PLATINUM,4619,5015,CHAMPION,5,5,5,20,503.03,2026-01-30,53,243
CUST-00840,Michael Wallace,pvargas@example.org,4674730671,PLAN-CM,Corporate Monthly,149.99,3,2025-08-12,True,GOLD,2305,2305,CHURNED,1,1,1,10,231.31,2025-12-23,91,189
CUST-00918,Nicole Mayer,melissa36@example.net,915.268.9109x779,PLAN-PM,Premium Monthly,89.99,2,2025-10-18,True,PLATINUM,4652,6039,AT_RISK,1,5,5,21,605.42,2026-01-04,79,215
CUST-00933,Philip Combs,pmay@example.org,(569)233-1542,PLAN-PM,Premium Monthly,89.99,2,2025-08-30,True,PLATINUM,5090,6210,AT_RISK,1,5,5,25,622.88,2026-01-05,78,214
CUST-00940,Toni Wood,monicadixon@example.net,(964)614-7533x69524,PLAN-BM,Basic Monthly,49.99,1,2025-09-13,True,GOLD,2750,3789,AT_RISK,1,3,3,16,380.18,2025-12-28,86,208
CUST-00949,Michael Ferguson,campbellmargaret@example.net,001-341-301-6793x014,PLAN-BM,Basic Monthly,49.99,1,2025-10-19,True,GOLD,2827,3781,NEW_CUSTOMER,4,2,3,14,379.14,2026-01-25,58,231
CUST-00954,Angela Hardin,hturner@example.net,(319)742-3215x4013,PLAN-BM,Basic Monthly,49.99,1,2025-07-22,True,GOLD,3394,3961,NEW_CUSTOMER,5,2,3,14,397.14,2026-01-30,53,242
CUST-00983,Lauren Lewis,michelle12@example.net,946-950-2234,PLAN-PM,Premium Monthly,89.99,2,2025-10-29,True,GOLD,2087,4232,CHAMPION,4,4,4,18,424.61,2026-01-26,57,232
CUST-01014,Elizabeth Patterson,marksmichael@example.org,9927449287,PLAN-PM,Premium Monthly,89.99,2,2025-10-17,True,GOLD,2551,3284,AT_RISK,2,3,2,16,329.67,2026-01-12,71,211
CUST-01015,Lori Day PhD,andrewgarcia@example.org,401-486-0742x90695,PLAN-PM,Premium Monthly,89.99,2,2025-10-15,True,GOLD,2134,3397,NEW_CUSTOMER,5,2,2,13,340.71,2026-01-28,55,233
CUST-01030,Amy Wood,richarddiaz@example.net,(782)731-3427,PLAN-BM,Basic Monthly,49.99,1,2025-10-19,True,PLATINUM,6042,6687,AT_RISK,2,5,5,28,670.87,2026-01-15,68,222
CUST-01054,Summer Rodriguez,jasminesullivan@example.org,386-539-9454,PLAN-PPO,Pay-Per-Order,0.0,0,2025-12-03,True,GOLD,4762,4762,AT_RISK,1,4,4,18,477.58,2026-01-07,76,220
CUST-01090,Stacy Russell,elizabeth55@example.com,(663)745-4182x99126,PLAN-PM,Premium Monthly,89.99,2,2025-12-09,True,GOLD,2172,3430,POTENTIAL,3,3,2,15,344.19,2026-01-19,64,218
CUST-01134,Angela Russell,castillomatthew@example.com,(593)551-0214x0128,PLAN-CM,Corporate Monthly,149.99,3,2025-10-25,True,GOLD,2425,3081,NEW_CUSTOMER,5,2,2,14,309.2,2026-01-28,55,230
CUST-01155,Aaron Adams,karenrichards@example.net,(891)558-5511,PLAN-PPO,Pay-Per-Order,0.0,0,2025-12-25,True,GOLD,3114,3114,NEW_CUSTOMER,5,1,2,11,312.18,2026-01-29,54,218
CUST-01179,Robert Rogers,barrettwendy@example.com,001-908-809-9839,PLAN-BM,Basic Monthly,49.99,1,2025-06-30,True,GOLD,1526,2413,NEW_CUSTOMER,5,1,1,12,242.25,2026-01-30,53,234
CUST-01182,Joseph Lindsey,dustinmoore@example.com,+1-860-902-2302x3405,PLAN-BM,Basic Monthly,49.99,1,2025-10-27,True,PLATINUM,5341,6649,CHAMPION,4,5,5,26,666.9,2026-01-26,57,236
CUST-01197,Terry Walter,collinsheather@example.net,001-926-965-3619,PLAN-PM,Premium Monthly,89.99,2,2025-11-03,True,PLATINUM,4245,5849,CHAMPION,5,5,5,21,586.5,2026-01-29,54,242
CUST-01211,Laura Burns,jennifercordova@example.net,495.679.5519,PLAN-BM,Basic Monthly,49.99,1,2025-08-13,True,GOLD,2238,2673,CHURNED,1,1,1,12,268.24,2025-12-16,98,175
CUST-01288,Gregory Warner MD,ehernandez@example.com,001-531-860-3781x105,PLAN-PPO,Pay-Per-Order,0.0,0,2025-11-24,True,SILVER,1853,1853,CHURNED,1,1,1,7,185.84,2026-01-07,76,208
CUST-01296,Andre Gonzalez,hjones@example.net,(660)455-5465,PLAN-BM,Basic Monthly,49.99,1,2025-06-22,True,GOLD,2026,2618,CHURNED,1,1,1,12,262.76,2026-01-07,76,203
CUST-01299,Monica Cannon,petermoreno@example.net,(309)857-0934x099,PLAN-PPO,Pay-Per-Order,0.0,0,2025-10-26,True,GOLD,3003,3003,NEW_CUSTOMER,5,1,1,12,301.18,2026-01-29,54,196
CUST-01356,Samuel Perez,paigefloyd@example.com,(596)697-0100,PLAN-BM,Basic Monthly,49.99,1,2025-06-21,True,GOLD,3214,3998,LOYAL,5,3,3,17,401.14,2026-01-28,55,231
CUST-01366,Sarah Lee,fraziertracy@example.com,350-701-1139,PLAN-PPO,Pay-Per-Order,0.0,0,2025-07-09,True,GOLD,4621,4621,AT_RISK,2,4,4,19,463.55,2026-01-11,72,221
CUST-01381,Kyle Chapman,susan13@example.org,768.370.5807x9106,PLAN-BM,Basic Monthly,49.99,1,2025-09-14,True,PLATINUM,3145,5916,LOYAL,3,4,5,19,593.01,2026-01-19,64,232
CUST-01405,Vanessa Brewer,patrick72@example.org,8373337840,PLAN-PPO,Pay-Per-Order,0.0,0,2025-10-21,True,GOLD,4318,4318,AT_RISK,1,4,4,17,433.05,2025-12-04,110,185
CUST-01426,Carl Benjamin,hartronald@example.net,001-396-446-0773x595,PLAN-BM,Basic Monthly,49.99,1,2025-06-29,True,PLATINUM,3699,5107,AT_RISK,2,4,5,18,512.07,2026-01-15,68,220
CUST-01438,Christine Parker,garciamark@example.com,6344756016,PLAN-PPO,Pay-Per-Order,0.0,0,2025-09-04,True,GOLD,4014,4014,LOYAL,4,3,3,16,402.64,2026-01-27,56,238
CUST-01471,Christopher Ford,schwartzdonna@example.org,001-207-532-4668x997,PLAN-PPO,Pay-Per-Order,0.0,0,2025-11-14,True,GOLD,2914,2914,CHURNED,1,1,1,11,292.19,2026-01-06,77,214
CUST-01484,Kenneth Moore,ronaldhartman@example.com,001-749-964-5495,PLAN-BM,Basic Monthly,49.99,1,2025-12-18,True,PLATINUM,4956,5136,LOYAL,3,4,5,19,515.04,2026-01-21,62,232
CUST-01493,Isaac Clarke,gonzalezjames@example.net,580.260.9417x50241,PLAN-BM,Basic Monthly,49.99,1,2025-12-20,True,GOLD,3088,3323,NEW_CUSTOMER,5,1,2,12,333.17,2026-01-29,54,209
CUST-01504,Diane Hughes,umiller@example.net,(638)776-2157x7405,PLAN-PM,Premium Monthly,89.99,2,2025-12-30,True,GOLD,2358,3188,NEW_CUSTOMER,5,1,2,12,319.7,2026-01-29,54,221
CUST-01570,John Wright,wjones@example.net,(928)459-9475x763,PLAN-PM,Premium Monthly,89.99,2,2025-10-16,True,GOLD,2746,3002,NEW_CUSTOMER,4,2,1,13,301.23,2026-01-27,56,222
CUST-01590,Brent Alvarado,francisbrenda@example.org,+1-416-845-7527x5428,PLAN-BM,Basic Monthly,49.99,1,2025-10-23,True,GOLD,3225,3525,AT_RISK,1,3,2,15,353.66,2026-01-06,77,213
CUST-01608,Tony Gonzalez,xwalker@example.com,936.656.7071x90565,PLAN-PM,Premium Monthly,89.99,2,2025-12-27,True,GOLD,4031,4687,CHAMPION,5,4,4,18,470.08,2026-01-30,53,243
CUST-01680,Joseph Massey,kburch@example.net,3663747720,PLAN-BM,Basic Monthly,49.99,1,2025-11-05,True,GOLD,1574,3178,NEW_CUSTOMER,5,1,2,12,318.67,2026-01-29,54,234
CUST-01710,Catherine Mendoza,rwoods@example.org,321.323.8487x756,PLAN-BM,Basic Monthly,49.99,1,2025-07-23,True,GOLD,2812,2812,CHURNED,1,2,1,13,282.24,2025-12-28,86,171
CUST-01712,Diane Morris,armstrongjoshua@example.org,562-571-2393x3065,PLAN-CM,Corporate Monthly,149.99,3,2025-08-21,True,GOLD,3423,3948,LOYAL,3,4,3,17,396.13,2026-01-21,62,223
CUST-01714,Pamela Nguyen,jgordon@example.org,001-873-876-3097x739,PLAN-BM,Basic Monthly,49.99,1,2025-09-21,True,GOLD,2235,3962,CHURNED,1,1,3,13,397.13,2025-12-13,101,178
CUST-01720,Stephen Barker,pooleallison@example.net,306.884.8368,PLAN-PM,Premium Monthly,89.99,2,2025-09-11,True,SILVER,1518,1518,CHURNED,1,1,1,7,152.35,2025-11-25,119,168
CUST-01766,Raymond Moore,mary17@example.com,7408937011,PLAN-BM,Basic Monthly,49.99,1,2025-06-21,True,GOLD,3494,3951,CHURNED,1,2,3,14,396.11,2025-12-09,105,190
CUST-01780,Randy Garcia,javierjohnson@example.org,(366)370-6331x1916,PLAN-PM,Premium Monthly,89.99,2,2025-06-16,True,GOLD,3013,4341,CHAMPION,4,4,4,19,435.62,2026-01-27,56,221
CUST-01797,Katherine Dodson,sarah84@example.com,757-566-3354x20509,PLAN-PPO,Pay-Per-Order,0.0,0,2025-08-23,True,PLATINUM,7920,7920,CHAMPION,5,5,5,30,794.26,2026-01-31,52,244
CUST-01808,Kelsey Collier,solismelissa@example.com,628.277.4786x910,PLAN-BM,Basic Monthly,49.99,1,2025-11-05,True,PLATINUM,4083,5356,CHAMPION,4,4,5,19,537.01,2026-01-27,56,240
CUST-01834,Ashley Johnson,vasquezcrystal@example.org,451-856-9933x276,PLAN-BM,Basic Monthly,49.99,1,2025-11-08,True,GOLD,2008,4136,LOYAL,3,4,3,19,415.11,2026-01-22,61,218
CUST-01849,Brian Ramos,richard62@example.org,+1-697-785-6525x542,PLAN-BM,Basic Monthly,49.99,1,2025-07-25,True,PLATINUM,4407,5330,LOYAL,3,5,5,20,534.51,2026-01-19,64,226
CUST-01872,Lisa Stewart,jonesnicole@example.org,+1-643-687-2075x7931,PLAN-PM,Premium Monthly,89.99,2,2025-08-24,True,SILVER,1871,1975,CHURNED,1,1,1,10,198.3,2025-12-30,84,206
CUST-01883,Brian Gamble,patrickhodge@example.net,+1-611-856-7814x0828,PLAN-PPO,Pay-Per-Order,0.0,0,2025-10-05,True,GOLD,4084,4084,LOYAL,4,3,3,16,409.62,2026-01-27,56,238
CUST-01885,Amy Rodriguez,fletcherpatrick@example.net,6046790464,PLAN-BM,Basic Monthly,49.99,1,2025-12-06,True,GOLD,2749,3176,CHURNED,1,2,2,14,318.7,2026-01-02,81,214
CUST-01887,Jessica Gregory,hserrano@example.org,441-266-6117x7294,PLAN-PM,Premium Monthly,89.99,2,2025-10-12,True,GOLD,3591,4486,CHAMPION,4,4,4,19,450.09,2026-01-26,57,230
CUST-01916,Thomas Paul,peterberger@example.com,+1-850-746-1622x8439,PLAN-CM,Corporate Monthly,149.99,3,2025-09-06,True,GOLD,1160,2180,CHURNED,1,1,1,10,218.78,2025-12-26,88,208
CUST-01930,Melinda Cantrell,bryan34@example.org,8763832987,PLAN-CM,Corporate Monthly,149.99,3,2025-08-27,True,GOLD,2039,2039,NEW_CUSTOMER,4,1,1,11,204.82,2026-01-26,57,215
CUST-01939,Kyle Smith Jr.,alyssa10@example.com,001-503-991-6781x288,PLAN-PPO,Pay-Per-Order,0.0,0,2025-07-04,True,PLATINUM,5351,5351,CHAMPION,5,4,5,19,536.49,2026-01-29,54,240
CUST-01967,Linda Johnson,burkenancy@example.org,752-640-4157,PLAN-PPO,Pay-Per-Order,0.0,0,2025-09-21,True,PLATINUM,5494,5494,LOYAL,3,5,5,21,551.02,2026-01-23,60,233
CUST-01969,Victor Miller,nicolerandall@example.net,001-450-864-1031x841,PLAN-PPO,Pay-Per-Order,0.0,0,2025-11-18,True,GOLD,4525,4525,CHAMPION,5,5,4,20,454.07,2026-01-31,52,242
CUST-00024,Travis Nielsen,noahthornton@example.com,728-860-4765x801,PLAN-BM,Basic Monthly,49.99,1,2025-09-10,True,GOLD,2128,2611,NEW_CUSTOMER,4,1,1,9,261.76,2026-01-27,56,233
CUST-00035,Michael Tran,lsanchez@example.org,(219)462-0710,PLAN-PM,Premium Monthly,89.99,2,2025-07-01,True,GOLD,4333,4677,AT_RISK,2,4,4,18,469.12,2026-01-15,68,227
CUST-00041,Rachel Little,belindatran@example.org,268-873-9774,PLAN-BM,Basic Monthly,49.99,1,2025-12-07,True,GOLD,3961,4842,AT_RISK,2,4,5,18,485.57,2026-01-10,73,217
CUST-00046,Anthony Watson,htucker@example.org,488.647.9513x7116,PLAN-PPO,Pay-Per-Order,0.0,0,2025-09-16,True,GOLD,3624,3624,POTENTIAL,5,3,2,16,363.63,2026-01-30,53,237
CUST-00108,Teresa West,chaveztonya@example.net,001-498-893-5449,PLAN-BM,Basic Monthly,49.99,1,2025-06-27,True,GOLD,3692,4456,CHAMPION,4,4,4,19,447.08,2026-01-24,59,232
CUST-00114,Nancy Brewer,jasminearmstrong@example.net,981-281-3989x0983,PLAN-PM,Premium Monthly,89.99,2,2025-12-23,True,GOLD,3500,4447,CHAMPION,4,4,4,18,446.07,2026-01-27,56,207
CUST-00137,Taylor Brooks,taylorchristopher@example.com,753.990.7895x67766,PLAN-CM,Corporate Monthly,149.99,3,2025-12-08,True,PLATINUM,4646,5595,AT_RISK,2,5,5,20,560.99,2026-01-14,69,188
CUST-00182,Denise Garcia,nicholasgarcia@example.org,(684)697-1859,PLAN-PPO,Pay-Per-Order,0.0,0,2025-07-02,True,GOLD,4798,4798,LOYAL,3,4,4,17,481.06,2026-01-20,63,191
CUST-00190,Clarence Cain,mayodiana@example.com,(625)260-5313,PLAN-BM,Basic Monthly,49.99,1,2025-08-04,True,GOLD,4012,4812,CHAMPION,5,4,4,18,482.55,2026-01-31,52,239
CUST-00207,Stephanie Munoz,royrogers@example.org,+1-462-449-4514x7541,PLAN-PM,Premium Monthly,89.99,2,2025-12-15,True,GOLD,2854,4122,LOYAL,3,4,3,18,413.64,2026-01-18,65,221
CUST-00258,Allison Wang,camposchristina@example.com,298.852.9894,PLAN-PPO,Pay-Per-Order,0.0,0,2025-09-07,True,SILVER,1788,1788,POTENTIAL,3,1,1,7,179.32,2026-01-19,64,227
CUST-00259,Julie Hines,fcombs@example.org,215-591-4975x019,PLAN-PPO,Pay-Per-Order,0.0,0,2025-06-27,True,GOLD,3543,3543,CHURNED,1,1,2,12,355.2,2025-12-24,90,181
CUST-00286,Lisa Cole,ihall@example.net,369.329.4455,PLAN-CM,Corporate Monthly,149.99,3,2025-12-13,True,GOLD,2837,3197,NEW_CUSTOMER,5,2,2,13,320.69,2026-01-28,55,218
CUST-00297,Deborah Stewart,blamb@example.com,404-573-5047x639,PLAN-PM,Premium Monthly,89.99,2,2025-06-14,True,GOLD,2834,4270,AT_RISK,1,3,4,15,428.13,2025-11-25,119,176
CUST-00303,Eric Thomas,davisgary@example.com,001-531-226-9789,PLAN-PPO,Pay-Per-Order,0.0,0,2025-09-11,True,GOLD,4758,4758,LOYAL,4,3,4,17,477.07,2026-01-27,56,197
CUST-00304,Eric Morgan,benjaminbarker@example.net,(304)338-7875x35778,PLAN-PPO,Pay-Per-Order,0.0,0,2025-11-12,True,GOLD,2667,2667,CHURNED,1,2,1,13,267.76,2025-11-25,119,155
CUST-00317,Denise Gonzalez,jordan74@example.org,559.855.8720x9628,PLAN-PM,Premium Monthly,89.99,2,2025-08-28,True,GOLD,2633,3761,POTENTIAL,3,2,3,14,377.19,2026-01-23,60,194
CUST-00320,Monica Wells,johnnybrooks@example.com,264.403.8166x4969,PLAN-BM,Basic Monthly,49.99,1,2025-10-06,True,GOLD,2486,3477,POTENTIAL,3,2,2,13,348.66,2026-01-18,65,221
CUST-00328,Jacob Small DDS,ronald40@example.net,724-256-0754x091,PLAN-PM,Premium Monthly,89.99,2,2025-06-27,True,GOLD,2339,2991,CHURNED,1,2,1,14,300.2,2025-12-28,86,209
CUST-00366,Tom Perez,pauljennifer@example.com,+1-613-434-2457x988,PLAN-CM,Corporate Monthly,149.99,3,2025-07-17,True,PLATINUM,4779,5430,AT_RISK,2,5,5,20,544.53,2026-01-11,72,214
CUST-00407,David Rodgers,wstewart@example.net,501.611.0005x15532,PLAN-PM,Premium Monthly,89.99,2,2025-07-03,True,GOLD,3193,3550,POTENTIAL,3,3,2,15,356.19,2026-01-18,65,200
CUST-00424,Janet Hernandez,christopher77@example.net,001-241-776-3425x073,PLAN-PM,Premium Monthly,89.99,2,2025-08-07,True,GOLD,182,2452,CHURNED,2,2,1,13,246.24,2026-01-13,70,194
CUST-00440,David Taylor,debbie78@example.net,(405)582-9582,PLAN-CM,Corporate Monthly,149.99,3,2025-12-23,True,GOLD,2538,4071,CHURNED,2,2,3,14,408.13,2026-01-16,67,225
CUST-00469,Carla Obrien,jonesnicholas@example.org,878-676-8868x7859,PLAN-PM,Premium Monthly,89.99,2,2025-10-30,True,GOLD,2272,3804,AT_RISK,1,3,3,16,381.65,2026-01-01,82,214
CUST-00477,Dillon Case,victor60@example.net,741-828-3337x2188,PLAN-BM,Basic Monthly,49.99,1,2025-11-22,True,GOLD,4112,4448,AT_RISK,1,4,4,17,446.09,2025-12-30,84,189
CUST-00478,Gary Miller,cindyfry@example.net,250-766-6267,PLAN-BM,Basic Monthly,49.99,1,2025-11-06,True,GOLD,1751,2807,CHURNED,2,2,1,13,281.72,2026-01-13,70,218
